review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,Positif,"{'classified_text': 'love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku', 'tweet_text': ' love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku', 'sentence_score': ['love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku, love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,['love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku'],5,-3,positif
pertama kali coba elum tau sih,Netral,"{'classified_text': 'pertama kali coba elum tau sih', 'tweet_text': ' pertama kali coba elum tau sih', 'sentence_score': ['pertama kali coba elum tau sih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pertama kali coba elum tau sih, pertama kali coba elum tau sih,['pertama kali coba elum tau sih'],1,-1,netral
realpict sukses selalu seller,Positif,"{'classified_text': 'realpict sukses [4] selalu seller', 'tweet_text': ' realpict sukses selalu seller', 'sentence_score': ['realpict sukses [4] selalu seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",realpict sukses [4] selalu seller, realpict sukses selalu seller,['realpict sukses [4] selalu seller'],4,-1,positif
semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry,Netral,"{'classified_text': 'semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry', 'tweet_text': ' semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry', 'sentence_score': ['semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry, semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry,['semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry'],3,-3,netral
baru pertama coba moga cocok emas cepat aman kirim cepat,Positif,"{'classified_text': 'baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4]', 'tweet_text': ' baru pertama coba moga cocok emas cepat aman kirim cepat', 'sentence_score': ['baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4], baru pertama coba moga cocok emas cepat aman kirim cepat,['baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4]'],5,-1,positif
pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum,Negatif,"{'classified_text': 'pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum', 'tweet_text': ' pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum', 'sentence_score': ['pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum, pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum,['pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum'],3,-1,positif
layan admin nya jelek,Negatif,"{'classified_text': 'layan admin nya jelek [-4]', 'tweet_text': ' layan admin nya jelek', 'sentence_score': ['layan admin nya jelek [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",layan admin nya jelek [-4], layan admin nya jelek,['layan admin nya jelek [-4]'],1,-4,negatif
kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda,Negatif,"{'classified_text': 'kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda', 'tweet_text': ' kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda', 'sentence_score': ['kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda, kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda,['kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda'],4,-5,negatif
barang kirim cuman harus beli twin pack,Negatif,"{'classified_text': 'barang kirim cuman harus beli twin pack', 'tweet_text': ' barang kirim cuman harus beli twin pack', 'sentence_score': ['barang kirim cuman harus beli twin pack'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",barang kirim cuman harus beli twin pack, barang kirim cuman harus beli twin pack,['barang kirim cuman harus beli twin pack'],1,-1,netral
pakai hari wajah jadi minyak merah jadi beruntus,Negatif,"{'classified_text': 'pakai hari wajah jadi minyak merah jadi beruntus', 'tweet_text': ' pakai hari wajah jadi minyak merah jadi beruntus', 'sentence_score': ['pakai hari wajah jadi minyak merah jadi beruntus'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pakai hari wajah jadi minyak merah jadi beruntus, pakai hari wajah jadi minyak merah jadi beruntus,['pakai hari wajah jadi minyak merah jadi beruntus'],1,-1,netral
sesuai deskripsi,Positif,"{'classified_text': 'sesuai [3] deskripsi', 'tweet_text': ' sesuai deskripsi', 'sentence_score': ['sesuai [3] deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sesuai [3] deskripsi, sesuai deskripsi,['sesuai [3] deskripsi'],3,-1,positif
tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit minyak masalah kulit jerawat masalah kulit pori besar', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3], tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,['tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3]'],3,-4,negatif
kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman,Negatif,"{'classified_text': 'kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4]', 'tweet_text': ' kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman', 'sentence_score': ['kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4], kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman,['kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4]'],4,-3,positif
tipe kulit kering,Netral,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing,Negatif,"{'classified_text': 'pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing', 'tweet_text': ' pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing', 'sentence_score': ['pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing, pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing,['pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing'],4,-3,positif
beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store,Negatif,"{'classified_text': 'beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store', 'tweet_text': ' beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store', 'sentence_score': ['beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store, beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store,['beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store'],4,-4,netral
sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,Negatif,"{'classified_text': 'sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'tweet_text': ' sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'sentence_score': ['sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang, sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,['sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang'],1,-3,negatif
kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing,Negatif,"{'classified_text': 'kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing', 'tweet_text': ' kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing', 'sentence_score': ['kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing, kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing,['kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing'],5,-2,positif
tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan,Negatif,"{'classified_text': 'tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan', 'tweet_text': ' tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan', 'sentence_score': ['tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan, tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan,['tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan'],3,-4,negatif
layan jelek banget,Negatif,"{'classified_text': 'layan jelek [-5] banget', 'tweet_text': ' layan jelek banget', 'sentence_score': ['layan jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",layan jelek [-5] banget, layan jelek banget,['layan jelek [-5] banget'],1,-5,negatif
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp panjang [1] thanks, exp panjang thanks,['exp panjang [1] thanks'],1,-1,netral
tekstur keras gumpal,Negatif,"{'classified_text': 'tekstur keras [-3] gumpal', 'tweet_text': ' tekstur keras gumpal', 'sentence_score': ['tekstur keras [-3] gumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",tekstur keras [-3] gumpal, tekstur keras gumpal,['tekstur keras [-3] gumpal'],1,-3,negatif
terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses,Negatif,"{'classified_text': 'terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses', 'tweet_text': ' terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses', 'sentence_score': ['terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses, terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses,['terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses'],1,-5,negatif
tekstur kental banget aku kurang ngefek sih probably enggak beli,Negatif,"{'classified_text': 'tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli', 'tweet_text': ' tekstur kental banget aku kurang ngefek sih probably enggak beli', 'sentence_score': ['tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli, tekstur kental banget aku kurang ngefek sih probably enggak beli,['tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli'],1,-2,negatif
botol semprot suka ngawur arah,Netral,"{'classified_text': 'botol semprot suka [4] ngawur arah', 'tweet_text': ' botol semprot suka ngawur arah', 'sentence_score': ['botol semprot suka [4] ngawur arah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",botol semprot suka [4] ngawur arah, botol semprot suka ngawur arah,['botol semprot suka [4] ngawur arah'],4,-1,positif
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya, produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'],4,-4,netral
sering pakai isi banyak bahan enggak neko fokus melembabkan,Positif,"{'classified_text': 'sering pakai isi banyak bahan enggak neko fokus melembabkan', 'tweet_text': ' sering pakai isi banyak bahan enggak neko fokus melembabkan', 'sentence_score': ['sering pakai isi banyak bahan enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sering pakai isi banyak bahan enggak neko fokus melembabkan, sering pakai isi banyak bahan enggak neko fokus melembabkan,['sering pakai isi banyak bahan enggak neko fokus melembabkan'],1,-1,netral
tekstur ringan kirim cepat,Positif,"{'classified_text': 'tekstur ringan kirim cepat [4]', 'tweet_text': ' tekstur ringan kirim cepat', 'sentence_score': ['tekstur ringan kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tekstur ringan kirim cepat [4], tekstur ringan kirim cepat,['tekstur ringan kirim cepat [4]'],4,-1,positif
respon toko nya cepat ramah belum coba mudah mudah cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4]', 'tweet_text': ' respon toko nya cepat ramah belum coba mudah mudah cocok', 'sentence_score': ['respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4], respon toko nya cepat ramah belum coba mudah mudah cocok,['respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4]'],5,-1,positif
langgan selalu beli sini,Positif,"{'classified_text': 'langgan selalu beli sini', 'tweet_text': ' langgan selalu beli sini', 'sentence_score': ['langgan selalu beli sini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",langgan selalu beli sini, langgan selalu beli sini,['langgan selalu beli sini'],1,-1,netral
tutup pumpnya enggak fungsi gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak fungsi gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak fungsi gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak fungsi gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tutup pumpnya enggak fungsi gentle banget washnya, tutup pumpnya enggak fungsi gentle banget washnya,['tutup pumpnya enggak fungsi gentle banget washnya'],1,-1,netral
face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif,Positif,"{'classified_text': 'face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2]', 'tweet_text': ' face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif', 'sentence_score': ['face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2], face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif,['face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2]'],4,-2,positif
material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4]', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4], material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih,['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4]'],4,-2,positif
bagus ro,Positif,"{'classified_text': 'bagus [4] ro', 'tweet_text': ' bagus ro', 'sentence_score': ['bagus [4] ro'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] ro, bagus ro,['bagus [4] ro'],4,-1,positif
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] bagus [5] cocok [4], bagus bagus cocok,['bagus [4] bagus [5] cocok [4]'],5,-1,positif
bonus,Positif,"{'classified_text': 'bonus [3]', 'tweet_text': ' bonus', 'sentence_score': ['bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bonus [3], bonus,['bonus [3]'],3,-1,positif
kasih free gift keren,Positif,"{'classified_text': 'kasih free gift keren [4]', 'tweet_text': ' kasih free gift keren', 'sentence_score': ['kasih free gift keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kasih free gift keren [4], kasih free gift keren,['kasih free gift keren [4]'],4,-1,positif
