review_tokens,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,Negatif,"{'classified_text': 'sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'tweet_text': ' sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'sentence_score': ['sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini, sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,['sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini'],1,-3,negatif
saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,Negatif,"{'classified_text': 'saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing', 'tweet_text': ' saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing', 'sentence_score': ['saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing, saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,['saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing'],5,-2,positif
tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,Negatif,"{'classified_text': 'tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan', 'tweet_text': ' tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan', 'sentence_score': ['tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan, tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,['tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan'],3,-5,negatif
pelayanannya jelek banget,Negatif,"{'classified_text': 'pelayanannya jelek [-5] banget', 'tweet_text': ' pelayanannya jelek banget', 'sentence_score': ['pelayanannya jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",pelayanannya jelek [-5] banget, pelayanannya jelek banget,['pelayanannya jelek [-5] banget'],1,-5,negatif
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp panjang [1] thanks, exp panjang thanks,['exp panjang [1] thanks'],1,-1,netral
dapat tekstur sudah keras dan menggumpal,Negatif,"{'classified_text': 'dapat tekstur sudah keras [-3] dan menggumpal', 'tweet_text': ' dapat tekstur sudah keras dan menggumpal', 'sentence_score': ['dapat tekstur sudah keras [-3] dan menggumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",dapat tekstur sudah keras [-3] dan menggumpal, dapat tekstur sudah keras dan menggumpal,['dapat tekstur sudah keras [-3] dan menggumpal'],1,-3,negatif
diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,Negatif,"{'classified_text': 'diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya', 'tweet_text': ' diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya', 'sentence_score': ['diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya, diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,['diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya'],1,-4,negatif
teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,Negatif,"{'classified_text': 'teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi', 'tweet_text': ' teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi', 'sentence_score': ['teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi, teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,['teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi'],1,-2,negatif
botol semprotnya suka ngawur arahnya,Netral,"{'classified_text': 'botol semprotnya suka [4] ngawur arahnya', 'tweet_text': ' botol semprotnya suka ngawur arahnya', 'sentence_score': ['botol semprotnya suka [4] ngawur arahnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",botol semprotnya suka [4] ngawur arahnya, botol semprotnya suka ngawur arahnya,['botol semprotnya suka [4] ngawur arahnya'],4,-1,positif
produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya, produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,['produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya'],4,-4,netral
sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,Positif,"{'classified_text': 'sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan', 'tweet_text': ' sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan', 'sentence_score': ['sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan, sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,['sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan'],1,-1,netral
tekstur ringan pengiriman cepat,Positif,"{'classified_text': 'tekstur ringan pengiriman cepat [4]', 'tweet_text': ' tekstur ringan pengiriman cepat', 'sentence_score': ['tekstur ringan pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tekstur ringan pengiriman cepat [4], tekstur ringan pengiriman cepat,['tekstur ringan pengiriman cepat [4]'],4,-1,positif
respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3]', 'tweet_text': ' respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok', 'sentence_score': ['respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3], respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,['respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3]'],4,-1,positif
sudah langganan selalu beli disini,Positif,"{'classified_text': 'sudah langganan selalu beli disini', 'tweet_text': ' sudah langganan selalu beli disini', 'sentence_score': ['sudah langganan selalu beli disini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sudah langganan selalu beli disini, sudah langganan selalu beli disini,['sudah langganan selalu beli disini'],1,-1,netral
tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya, tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,['tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya'],1,-1,netral
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,Positif,"{'classified_text': 'face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2]', 'tweet_text': ' face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif', 'sentence_score': ['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2], face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2]'],4,-2,positif
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya, material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya'],4,-2,positif
bagus pasti ro,Positif,"{'classified_text': 'bagus [5] pasti ro', 'tweet_text': ' bagus pasti ro', 'sentence_score': ['bagus [5] pasti ro'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] pasti ro, bagus pasti ro,['bagus [5] pasti ro'],5,-1,positif
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] bagus [5] cocok [4], bagus bagus cocok,['bagus [4] bagus [5] cocok [4]'],5,-1,positif
dapat bonus,Positif,"{'classified_text': 'dapat bonus [3]', 'tweet_text': ' dapat bonus', 'sentence_score': ['dapat bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",dapat bonus [3], dapat bonus,['dapat bonus [3]'],3,-1,positif
dikasih free gift juga keren,Positif,"{'classified_text': 'dikasih free gift juga keren [4]', 'tweet_text': ' dikasih free gift juga keren', 'sentence_score': ['dikasih free gift juga keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",dikasih free gift juga keren [4], dikasih free gift juga keren,['dikasih free gift juga keren [4]'],4,-1,positif
sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,Positif,"{'classified_text': 'sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'tweet_text': ' sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'sentence_score': ['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang, sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang'],5,-4,positif
maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget, maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,['maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget'],1,-5,negatif
warna nya kuning entah karena apa,Netral,"{'classified_text': 'warna nya kuning entah karena apa', 'tweet_text': ' warna nya kuning entah karena apa', 'sentence_score': ['warna nya kuning entah karena apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",warna nya kuning entah karena apa, warna nya kuning entah karena apa,['warna nya kuning entah karena apa'],1,-1,netral
habis pakai ini besokannya langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai ini besokannya langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1], habis pakai ini besokannya langsung muncul banyak jerawat kecil,['habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1]'],1,-1,netral
isinya berantakan,Negatif,"{'classified_text': 'isinya berantakan [-4]', 'tweet_text': ' isinya berantakan', 'sentence_score': ['isinya berantakan [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",isinya berantakan [-4], isinya berantakan,['isinya berantakan [-4]'],1,-4,negatif
bikin aku jerawatan,Negatif,"{'classified_text': 'bikin aku jerawatan', 'tweet_text': ' bikin aku jerawatan', 'sentence_score': ['bikin aku jerawatan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bikin aku jerawatan, bikin aku jerawatan,['bikin aku jerawatan'],1,-1,netral
produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,Negatif,"{'classified_text': 'produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya', 'tweet_text': ' produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya', 'sentence_score': ['produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya, produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,['produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya'],1,-1,netral
selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh', 'tweet_text': ' selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh', 'sentence_score': ['selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh, selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,['selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh'],5,-4,positif
