review_tokens_SR,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing,Negatif,"{'classified_text': 'kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing', 'tweet_text': ' kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing', 'sentence_score': ['kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing, kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing,['kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing'],5,-2,positif
tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan,Negatif,"{'classified_text': 'tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan', 'tweet_text': ' tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan', 'sentence_score': ['tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan, tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan,['tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan'],3,-4,negatif
pelayanannya jelek banget,Negatif,"{'classified_text': 'pelayanannya jelek [-5] banget', 'tweet_text': ' pelayanannya jelek banget', 'sentence_score': ['pelayanannya jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",pelayanannya jelek [-5] banget, pelayanannya jelek banget,['pelayanannya jelek [-5] banget'],1,-5,negatif
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp panjang [1] thanks, exp panjang thanks,['exp panjang [1] thanks'],1,-1,netral
tekstur keras menggumpal,Negatif,"{'classified_text': 'tekstur keras [-3] menggumpal', 'tweet_text': ' tekstur keras menggumpal', 'sentence_score': ['tekstur keras [-3] menggumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",tekstur keras [-3] menggumpal, tekstur keras menggumpal,['tekstur keras [-3] menggumpal'],1,-3,negatif
diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya,Negatif,"{'classified_text': 'diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya', 'tweet_text': ' diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya', 'sentence_score': ['diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya, diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya,['diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya'],1,-5,negatif
teksturnya kental banget aku kurang ngefek sih probably enggak beli,Negatif,"{'classified_text': 'teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli', 'tweet_text': ' teksturnya kental banget aku kurang ngefek sih probably enggak beli', 'sentence_score': ['teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli, teksturnya kental banget aku kurang ngefek sih probably enggak beli,['teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli'],1,-2,negatif
botol semprotnya suka ngawur arahnya,Netral,"{'classified_text': 'botol semprotnya suka [4] ngawur arahnya', 'tweet_text': ' botol semprotnya suka ngawur arahnya', 'sentence_score': ['botol semprotnya suka [4] ngawur arahnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",botol semprotnya suka [4] ngawur arahnya, botol semprotnya suka ngawur arahnya,['botol semprotnya suka [4] ngawur arahnya'],4,-1,positif
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya, produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'],4,-4,netral
sering pakai isinya banyak bahannya enggak neko fokus melembabkan,Positif,"{'classified_text': 'sering pakai isinya banyak bahannya enggak neko fokus melembabkan', 'tweet_text': ' sering pakai isinya banyak bahannya enggak neko fokus melembabkan', 'sentence_score': ['sering pakai isinya banyak bahannya enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sering pakai isinya banyak bahannya enggak neko fokus melembabkan, sering pakai isinya banyak bahannya enggak neko fokus melembabkan,['sering pakai isinya banyak bahannya enggak neko fokus melembabkan'],1,-1,netral
tekstur ringan pengiriman cepat,Positif,"{'classified_text': 'tekstur ringan pengiriman cepat [4]', 'tweet_text': ' tekstur ringan pengiriman cepat', 'sentence_score': ['tekstur ringan pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tekstur ringan pengiriman cepat [4], tekstur ringan pengiriman cepat,['tekstur ringan pengiriman cepat [4]'],4,-1,positif
respon toko nya cepat ramah dicoba mudah mudahan cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3]', 'tweet_text': ' respon toko nya cepat ramah dicoba mudah mudahan cocok', 'sentence_score': ['respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3], respon toko nya cepat ramah dicoba mudah mudahan cocok,['respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3]'],5,-1,positif
langganan selalu beli disini,Positif,"{'classified_text': 'langganan selalu beli disini', 'tweet_text': ' langganan selalu beli disini', 'sentence_score': ['langganan selalu beli disini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",langganan selalu beli disini, langganan selalu beli disini,['langganan selalu beli disini'],1,-1,netral
tutup pumpnya enggak berfungsi gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak berfungsi gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak berfungsi gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak berfungsi gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tutup pumpnya enggak berfungsi gentle banget washnya, tutup pumpnya enggak berfungsi gentle banget washnya,['tutup pumpnya enggak berfungsi gentle banget washnya'],1,-1,netral
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif,Positif,"{'classified_text': 'face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2]', 'tweet_text': ' face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif', 'sentence_score': ['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2], face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif,['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2]'],4,-2,positif
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4]', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4], material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih,['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4]'],4,-2,positif
bagus ro,Positif,"{'classified_text': 'bagus [4] ro', 'tweet_text': ' bagus ro', 'sentence_score': ['bagus [4] ro'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] ro, bagus ro,['bagus [4] ro'],4,-1,positif
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] bagus [5] cocok [4], bagus bagus cocok,['bagus [4] bagus [5] cocok [4]'],5,-1,positif
bonus,Positif,"{'classified_text': 'bonus [3]', 'tweet_text': ' bonus', 'sentence_score': ['bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bonus [3], bonus,['bonus [3]'],3,-1,positif
dikasih free gift keren,Positif,"{'classified_text': 'dikasih free gift keren [4]', 'tweet_text': ' dikasih free gift keren', 'sentence_score': ['dikasih free gift keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",dikasih free gift keren [4], dikasih free gift keren,['dikasih free gift keren [4]'],4,-1,positif
sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapiii menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,Positif,"{'classified_text': 'sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang', 'tweet_text': ' sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang', 'sentence_score': ['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang, sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang'],5,-4,positif
maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget, maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,['maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget'],1,-5,negatif
warna nya kuning entah apa,Netral,"{'classified_text': 'warna nya kuning entah apa', 'tweet_text': ' warna nya kuning entah apa', 'sentence_score': ['warna nya kuning entah apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",warna nya kuning entah apa, warna nya kuning entah apa,['warna nya kuning entah apa'],1,-1,netral
habis pakai besokannya langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai besokannya langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai besokannya langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai besokannya langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",habis pakai besokannya langsung muncul banyak jerawat kecil [-1], habis pakai besokannya langsung muncul banyak jerawat kecil,['habis pakai besokannya langsung muncul banyak jerawat kecil [-1]'],1,-1,netral
isinya berantakan,Negatif,"{'classified_text': 'isinya berantakan [-4]', 'tweet_text': ' isinya berantakan', 'sentence_score': ['isinya berantakan [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",isinya berantakan [-4], isinya berantakan,['isinya berantakan [-4]'],1,-4,negatif
bikin aku jerawatan,Negatif,"{'classified_text': 'bikin aku jerawatan', 'tweet_text': ' bikin aku jerawatan', 'sentence_score': ['bikin aku jerawatan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bikin aku jerawatan, bikin aku jerawatan,['bikin aku jerawatan'],1,-1,netral
produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya,Negatif,"{'classified_text': 'produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya', 'tweet_text': ' produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya', 'sentence_score': ['produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya, produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya,['produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya'],1,-1,netral
selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh', 'tweet_text': ' selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh', 'sentence_score': ['selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh, selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh,['selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh'],5,-4,positif
parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar,Negatif,"{'classified_text': 'parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5]', 'tweet_text': ' parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar', 'sentence_score': ['parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5]'], 'max_positive': 5, 'max_negative': -6, 'kelas': 'negatif'}",parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5], parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar,['parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5]'],5,-6,negatif
packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar,Netral,"{'classified_text': 'packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3]', 'tweet_text': ' packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar', 'sentence_score': ['packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3]'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3], packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar,['packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3]'],5,-3,positif
warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening,Negatif,"{'classified_text': 'warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3]', 'tweet_text': ' warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening', 'sentence_score': ['warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3], warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening,['warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3]'],3,-1,positif
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif,"{'classified_text': 'benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua', 'tweet_text': ' benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua', 'sentence_score': ['benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua, benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,['benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua'],4,-5,negatif
coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat,Positif,"{'classified_text': 'coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5]', 'tweet_text': ' coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat', 'sentence_score': ['coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5], coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat,['coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5]'],5,-1,positif
fast response on time delivery,Positif,"{'classified_text': 'fast response on time delivery', 'tweet_text': ' fast response on time delivery', 'sentence_score': ['fast response on time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",fast response on time delivery, fast response on time delivery,['fast response on time delivery'],1,-1,netral
coba semoga cocok,Positif,"{'classified_text': 'coba semoga cocok [3]', 'tweet_text': ' coba semoga cocok', 'sentence_score': ['coba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba semoga cocok [3], coba semoga cocok,['coba semoga cocok [3]'],3,-1,positif
tipe kulitku berminyak masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku pori besar', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulitku berminyak masalah [-4] kulitku pori besar [3], tipe kulitku berminyak masalah kulitku pori besar,['tipe kulitku berminyak masalah [-4] kulitku pori besar [3]'],3,-4,negatif
semoga cocok terima kasih bonusnya,Positif,"{'classified_text': 'semoga cocok [3] terima kasih [4] bonusnya', 'tweet_text': ' semoga cocok terima kasih bonusnya', 'sentence_score': ['semoga cocok [3] terima kasih [4] bonusnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",semoga cocok [3] terima kasih [4] bonusnya, semoga cocok terima kasih bonusnya,['semoga cocok [3] terima kasih [4] bonusnya'],4,-1,positif
