review_tokens_SR,Sentimen,sentimen
kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing,Negatif,"{'classified_text': 'kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing', 'tweet_text': ' kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing', 'sentence_score': ['kira membeli toko official pengemasan lebih baik [5] terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat [4] isi tumpah cuma [-2] berharap [-1] kotak kemasan azarine lebih baik [5] kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan,Negatif,"{'classified_text': 'tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan', 'tweet_text': ' tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan', 'sentence_score': ['tiap belanja salah [-4] kalo enggak kurang [2] barangnya salah [-4] barangnya ikhlasin semoga berkah kalo produknya cocok [3] pelayanan nya kurang [-2] butuh karyawan'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
pelayanannya jelek banget,Negatif,"{'classified_text': 'pelayanannya jelek [-5] banget', 'tweet_text': ' pelayanannya jelek banget', 'sentence_score': ['pelayanannya jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tekstur keras menggumpal,Negatif,"{'classified_text': 'tekstur keras [-3] menggumpal', 'tweet_text': ' tekstur keras menggumpal', 'sentence_score': ['tekstur keras [-3] menggumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya,Negatif,"{'classified_text': 'diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya', 'tweet_text': ' diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya', 'sentence_score': ['diterima keaadan bocor [-3] bekas [-5] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] prosesnya'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
teksturnya kental banget aku kurang ngefek sih probably enggak beli,Negatif,"{'classified_text': 'teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli', 'tweet_text': ' teksturnya kental banget aku kurang ngefek sih probably enggak beli', 'sentence_score': ['teksturnya kental banget aku kurang [-2] ngefek sih probably enggak beli'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
botol semprotnya suka ngawur arahnya,Netral,"{'classified_text': 'botol semprotnya suka [4] ngawur arahnya', 'tweet_text': ' botol semprotnya suka ngawur arahnya', 'sentence_score': ['botol semprotnya suka [4] ngawur arahnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sering pakai isinya banyak bahannya enggak neko fokus melembabkan,Positif,"{'classified_text': 'sering pakai isinya banyak bahannya enggak neko fokus melembabkan', 'tweet_text': ' sering pakai isinya banyak bahannya enggak neko fokus melembabkan', 'sentence_score': ['sering pakai isinya banyak bahannya enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tekstur ringan pengiriman cepat,Positif,"{'classified_text': 'tekstur ringan pengiriman cepat [4]', 'tweet_text': ' tekstur ringan pengiriman cepat', 'sentence_score': ['tekstur ringan pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
respon toko nya cepat ramah dicoba mudah mudahan cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3]', 'tweet_text': ' respon toko nya cepat ramah dicoba mudah mudahan cocok', 'sentence_score': ['respon toko nya cepat [4] ramah [5] dicoba mudah [3] mudahan cocok [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
langganan selalu beli disini,Positif,"{'classified_text': 'langganan selalu beli disini', 'tweet_text': ' langganan selalu beli disini', 'sentence_score': ['langganan selalu beli disini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tutup pumpnya enggak berfungsi gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak berfungsi gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak berfungsi gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak berfungsi gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif,Positif,"{'classified_text': 'face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2]', 'tweet_text': ' face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif', 'sentence_score': ['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok [4] banget buat kulitku sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4]', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] fragrance packaging pump hygenis semoga kulit sensitif [-2] cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
bagus ro,Positif,"{'classified_text': 'bagus [4] ro', 'tweet_text': ' bagus ro', 'sentence_score': ['bagus [4] ro'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
bonus,Positif,"{'classified_text': 'bonus [3]', 'tweet_text': ' bonus', 'sentence_score': ['bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dikasih free gift keren,Positif,"{'classified_text': 'dikasih free gift keren [4]', 'tweet_text': ' dikasih free gift keren', 'sentence_score': ['dikasih free gift keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapiii menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,Positif,"{'classified_text': 'sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang', 'tweet_text': ' sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang', 'sentence_score': ['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget kulit enggak lengket greasy nyaman [4] daan kebetulan cocok [3] bekas [-4] jerawatku memang jadi lebih memudar [-4] hilang [-4] tentunya butuh prosesnya bestie tapi menurutku skin game perhatikan pemilihan packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
warna nya kuning entah apa,Netral,"{'classified_text': 'warna nya kuning entah apa', 'tweet_text': ' warna nya kuning entah apa', 'sentence_score': ['warna nya kuning entah apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
habis pakai besokannya langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai besokannya langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai besokannya langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai besokannya langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
isinya berantakan,Negatif,"{'classified_text': 'isinya berantakan [-4]', 'tweet_text': ' isinya berantakan', 'sentence_score': ['isinya berantakan [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
bikin aku jerawatan,Negatif,"{'classified_text': 'bikin aku jerawatan', 'tweet_text': ' bikin aku jerawatan', 'sentence_score': ['bikin aku jerawatan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya,Negatif,"{'classified_text': 'produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya', 'tweet_text': ' produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya', 'sentence_score': ['produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh', 'tweet_text': ' selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh', 'sentence_score': ['selangnya sependek apa sih hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar,Negatif,"{'classified_text': 'parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5]', 'tweet_text': ' parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar', 'sentence_score': ['parah [-6] banget seller pengiriman kurir lama [-3] banget kirimnya plus waktu dibuka paketnya rusak [-4] enggak jelas [-4] seller professional niat jualan sama sekali meskipun [-2] official store hargai customer membungkus paket baik [4] benar [5]'], 'max_positive': 5, 'max_negative': -6, 'kelas': 'negatif'}"
packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar,Netral,"{'classified_text': 'packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3]', 'tweet_text': ' packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar', 'sentence_score': ['packaging suka [5] banget pengeriman cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] aku kayak langsung jerawatan besar [3]'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening,Negatif,"{'classified_text': 'warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3]', 'tweet_text': ' warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening', 'sentence_score': ['warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif,"{'classified_text': 'benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua', 'tweet_text': ' benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua', 'sentence_score': ['benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat,Positif,"{'classified_text': 'coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5]', 'tweet_text': ' coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat', 'sentence_score': ['coba pertama kali beli semoga cocok [3] bintang diberikan respon admin pengantaran pesanan baik [4] cepat [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
fast response on time delivery,Positif,"{'classified_text': 'fast response on time delivery', 'tweet_text': ' fast response on time delivery', 'sentence_score': ['fast response on time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
coba semoga cocok,Positif,"{'classified_text': 'coba semoga cocok [3]', 'tweet_text': ' coba semoga cocok', 'sentence_score': ['coba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku pori besar', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
semoga cocok terima kasih bonusnya,Positif,"{'classified_text': 'semoga cocok [3] terima kasih [4] bonusnya', 'tweet_text': ' semoga cocok terima kasih bonusnya', 'sentence_score': ['semoga cocok [3] terima kasih [4] bonusnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang terima sekarang kurir ditanya balesnya lama pengiriman dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasanya begini kak dikomplain bagian ekspedisi pengirimannya terima kasih,Negatif,"{'classified_text': 'barang terima sekarang kurir ditanya balesnya lama [-2] pengiriman dipindahtangankan sama kurir pertama kecewa [-3] padahal alamat sesuai [3] biasanya begini kak dikomplain bagian ekspedisi pengirimannya terima kasih [4]', 'tweet_text': ' barang terima sekarang kurir ditanya balesnya lama pengiriman dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasanya begini kak dikomplain bagian ekspedisi pengirimannya terima kasih', 'sentence_score': ['barang terima sekarang kurir ditanya balesnya lama [-2] pengiriman dipindahtangankan sama kurir pertama kecewa [-3] padahal alamat sesuai [3] biasanya begini kak dikomplain bagian ekspedisi pengirimannya terima kasih [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
enggak cocok mukaku tambah jerawat parah,Negatif,"{'classified_text': 'enggak cocok [-3] mukaku tambah jerawat parah [-5]', 'tweet_text': ' enggak cocok mukaku tambah jerawat parah', 'sentence_score': ['enggak cocok [-3] mukaku tambah jerawat parah [-5]'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
hadiahnya bohongan,Negatif,"{'classified_text': 'hadiahnya bohongan', 'tweet_text': ' hadiahnya bohongan', 'sentence_score': ['hadiahnya bohongan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
berbohong,Negatif,"{'classified_text': 'berbohong [-5]', 'tweet_text': ' berbohong', 'sentence_score': ['berbohong [-5]'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif,"{'classified_text': 'baru mau coba semoga cocok [3] tipe kulitku kombinasi masalah [-4] kulitku jerawat', 'tweet_text': ' baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat', 'sentence_score': ['baru mau coba semoga cocok [3] tipe kulitku kombinasi masalah [-4] kulitku jerawat'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
oke,Positif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku kering tipe kulitku normal,Netral,"{'classified_text': 'tipe kulitku kering tipe kulitku normal [-1]', 'tweet_text': ' tipe kulitku kering tipe kulitku normal', 'sentence_score': ['tipe kulitku kering tipe kulitku normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama kali mencoba warna kulit cenderung gelap awalnya pikir bakal jomplang pas dipakai ternyata blend banget sama kulit warnanya jadi lebih cerah bukan jadi tone up teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas kering lama jadi glow up,Positif,"{'classified_text': 'pertama kali mencoba warna kulit cenderung gelap [-2] awalnya pikir bakal jomplang pas dipakai ternyata blend banget sama kulit warnanya jadi lebih cerah [5] bukan jadi tone up teksturnya kaya [3] foundy cair cepat [4] nyerap awalnya kaya [3] mate pas kering lama [-2] jadi glow up', 'tweet_text': ' pertama kali mencoba warna kulit cenderung gelap awalnya pikir bakal jomplang pas dipakai ternyata blend banget sama kulit warnanya jadi lebih cerah bukan jadi tone up teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas kering lama jadi glow up', 'sentence_score': ['pertama kali mencoba warna kulit cenderung gelap [-2] awalnya pikir bakal jomplang pas dipakai ternyata blend banget sama kulit warnanya jadi lebih cerah [5] bukan jadi tone up teksturnya kaya [3] foundy cair cepat [4] nyerap awalnya kaya [3] mate pas kering lama [-2] jadi glow up'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
sepertinya botol apa secocok dikulit normal cenderung kering enaknya enggak white cast tone up jadi enggak berasa cemong dikulit putih,Positif,"{'classified_text': 'sepertinya botol apa secocok dikulit normal [-1] cenderung kering enaknya enggak white cast tone up jadi enggak berasa cemong dikulit putih', 'tweet_text': ' sepertinya botol apa secocok dikulit normal cenderung kering enaknya enggak white cast tone up jadi enggak berasa cemong dikulit putih', 'sentence_score': ['sepertinya botol apa secocok dikulit normal [-1] cenderung kering enaknya enggak white cast tone up jadi enggak berasa cemong dikulit putih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
botol kedua enak dikulit gampang menyerap enggak masalah kulitnya mantap,Positif,"{'classified_text': 'botol kedua enak [4] dikulit gampang menyerap [1] enggak masalah [4] kulitnya mantap [4]', 'tweet_text': ' botol kedua enak dikulit gampang menyerap enggak masalah kulitnya mantap', 'sentence_score': ['botol kedua enak [4] dikulit gampang menyerap [1] enggak masalah [4] kulitnya mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
produk beda isi cairannya customer service ditanya enggak membantu bertele tele,Negatif,"{'classified_text': 'produk beda isi cairannya customer service ditanya enggak membantu [-4] bertele tele', 'tweet_text': ' produk beda isi cairannya customer service ditanya enggak membantu bertele tele', 'sentence_score': ['produk beda isi cairannya customer service ditanya enggak membantu [-4] bertele tele'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa isi full beli tempat,Negatif,"{'classified_text': 'kecewa [-3] isi full beli tempat', 'tweet_text': ' kecewa isi full beli tempat', 'sentence_score': ['kecewa [-3] isi full beli tempat'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
terpaksa kasih penilaian jelek admin al el ve handle chat balasnya asal menjawab konsultasi customer baik pertanyan jawabannya sesuai asal balas membaca permasalahan pembeli,Negatif,"{'classified_text': 'terpaksa kasih penilaian jelek [-4] admin al el ve handle chat balasnya asal menjawab konsultasi customer baik [4] pertanyan jawabannya sesuai [3] asal balas membaca permasalahan pembeli', 'tweet_text': ' terpaksa kasih penilaian jelek admin al el ve handle chat balasnya asal menjawab konsultasi customer baik pertanyan jawabannya sesuai asal balas membaca permasalahan pembeli', 'sentence_score': ['terpaksa kasih penilaian jelek [-4] admin al el ve handle chat balasnya asal menjawab konsultasi customer baik [4] pertanyan jawabannya sesuai [3] asal balas membaca permasalahan pembeli'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
baru coba semoga cocok recommended seller,Positif,"{'classified_text': 'baru coba semoga cocok [3] recommended seller', 'tweet_text': ' baru coba semoga cocok recommended seller', 'sentence_score': ['baru coba semoga cocok [3] recommended seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pertama kali mencoba tinted sunscreen mudahan cocok enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap,Positif,"{'classified_text': 'pertama kali mencoba tinted sunscreen mudahan cocok [3] enggak oksidasi sesuai [3] klaimnya packing aman [4] kardus ditambah bubble wrap tebal mantap [4]', 'tweet_text': ' pertama kali mencoba tinted sunscreen mudahan cocok enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap', 'sentence_score': ['pertama kali mencoba tinted sunscreen mudahan cocok [3] enggak oksidasi sesuai [3] klaimnya packing aman [4] kardus ditambah bubble wrap tebal mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pesan barang paket lengkap datang paket,Positif,"{'classified_text': 'pesan barang paket lengkap datang paket', 'tweet_text': ' pesan barang paket lengkap datang paket', 'sentence_score': ['pesan barang paket lengkap datang paket'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif,"{'classified_text': 'lebih baik [5] sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'tweet_text': ' lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'sentence_score': ['lebih baik [5] sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
lemot responnya,Negatif,"{'classified_text': 'lemot responnya', 'tweet_text': ' lemot responnya', 'sentence_score': ['lemot responnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
wtf pas buka tutupnya ternyata keputer malah tempat moisturizernya langsung tumpah setengah,Negatif,"{'classified_text': 'wtf [-4] pas buka tutupnya ternyata keputer malah tempat moisturizernya langsung tumpah setengah', 'tweet_text': ' wtf pas buka tutupnya ternyata keputer malah tempat moisturizernya langsung tumpah setengah', 'sentence_score': ['wtf [-4] pas buka tutupnya ternyata keputer malah tempat moisturizernya langsung tumpah setengah'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
isi sesuai,Negatif,"{'classified_text': 'isi sesuai [3]', 'tweet_text': ' isi sesuai', 'sentence_score': ['isi sesuai [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
thanks,Positif,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
well received thanks,Positif,"{'classified_text': 'well received thanks', 'tweet_text': ' well received thanks', 'sentence_score': ['well received thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang aman cuma aku abuan dikit ditoleransi thanks,Positif,"{'classified_text': 'barang aman [4] cuma [-2] aku abuan dikit ditoleransi thanks', 'tweet_text': ' barang aman cuma aku abuan dikit ditoleransi thanks', 'sentence_score': ['barang aman [4] cuma [-2] aku abuan dikit ditoleransi thanks'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
produknya biasa paling parah pelayanannya sangat memuaskan helpfull customer oriented hati kalau belanja disini kesalahan sedikit bakal fatal,Negatif,"{'classified_text': 'produknya biasa [-3] paling parah [-6] pelayanannya sangat memuaskan [5] helpfull customer oriented hati kalau belanja disini kesalahan [-1] sedikit bakal fatal', 'tweet_text': ' produknya biasa paling parah pelayanannya sangat memuaskan helpfull customer oriented hati kalau belanja disini kesalahan sedikit bakal fatal', 'sentence_score': ['produknya biasa [-3] paling parah [-6] pelayanannya sangat memuaskan [5] helpfull customer oriented hati kalau belanja disini kesalahan [-1] sedikit bakal fatal'], 'max_positive': 5, 'max_negative': -6, 'kelas': 'negatif'}"
