,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,"['saya', 'sudah', 'pakai', 'harian', 'di', 'wajah', 'saya', 'jadi', 'berminyak', 'merah', 'dan', 'jadi', 'beruntusan']","['pakai', 'harian', 'wajah', 'jadi', 'berminyak', 'merah', 'jadi', 'beruntusan']"
49,sesuai deskripsi,Positif,sesuai deskripsi,"['sesuai', 'deskripsi']","['sesuai', 'deskripsi']"
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']"
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,"['agak', 'kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'ada', 'bubble', 'wrap', 'biasanya', 'ada', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']","['kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'bubble', 'wrap', 'biasanya', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']"
52,tipe kulitku kering,Netral,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']"
53,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,"['ini', 'pertama', 'kalinya', 'saya', 'tidak', 'menerima', 'barang', 'pesanan', 'saya', 'secara', 'lengkap', 'sayangnya', 'saya', 'tidak', 'melakukan', 'video', 'unboxing']","['pertama', 'kalinya', 'tidak', 'menerima', 'barang', 'pesanan', 'lengkap', 'sayangnya', 'tidak', 'melakukan', 'video', 'unboxing']"
54,beli tgl mei chat admin katanya tgl bisa dikirim tp sampai sudah mau batal otomatis baru dikirim sampe di rmh tgl malem pdhal mau dibawa ke luar kota tgl mei krn melihat status ga dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tp pelayanan buruk dan pengiriman lama barang yg dikirim sesuai hanya tdk ada box atau bubble wrap kalo yg butuh cepat tolong pertimbangkan utk beli di official store,Negatif,beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store,"['beli', 'tanggal', 'mei', 'chat', 'admin', 'katanya', 'tanggal', 'bisa', 'dikirim', 'tapi', 'sampai', 'sudah', 'mau', 'batal', 'otomatis', 'baru', 'dikirim', 'sampai', 'di', 'rumah', 'tanggal', 'malam', 'padahal', 'mau', 'dibawa', 'ke', 'luar', 'kota', 'tanggal', 'mei', 'karena', 'melihat', 'status', 'enggak', 'dikirim', 'akhirnya', 'beli', 'sama', 'reseller', 'di', 'jakarta', 'kecewa', 'baru', 'pertama', 'kali', 'pesan', 'di', 'official', 'store', 'tapi', 'pelayanan', 'buruk', 'dan', 'pengiriman', 'lama', 'barang', 'yang', 'dikirim', 'sesuai', 'hanya', 'tidak', 'ada', 'box', 'atau', 'bubble', 'wrap', 'kalo', 'yang', 'butuh', 'cepat', 'tolong', 'pertimbangkan', 'untuk', 'beli', 'di', 'official', 'store']","['beli', 'tanggal', 'mei', 'chat', 'admin', 'katanya', 'tanggal', 'dikirim', 'mau', 'batal', 'otomatis', 'baru', 'dikirim', 'rumah', 'tanggal', 'malam', 'padahal', 'mau', 'dibawa', 'luar', 'kota', 'tanggal', 'mei', 'melihat', 'status', 'enggak', 'dikirim', 'akhirnya', 'beli', 'sama', 'reseller', 'jakarta', 'kecewa', 'baru', 'pertama', 'kali', 'pesan', 'official', 'store', 'pelayanan', 'buruk', 'pengiriman', 'lama', 'barang', 'dikirim', 'sesuai', 'tidak', 'box', 'bubble', 'wrap', 'kalo', 'butuh', 'cepat', 'pertimbangkan', 'beli', 'official', 'store']"
55,udahlah prosesnya lama bgt yg dikirim gk lengkap juga bilang dong kalo brgnya kosong gk bisa kasih review krn saya gak terima barang ini,Negatif,sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,"['sudahlah', 'prosesnya', 'lama', 'banget', 'yang', 'dikirim', 'enggak', 'lengkap', 'juga', 'bilang', 'dong', 'kalo', 'brgnya', 'kosong', 'enggak', 'bisa', 'kasih', 'review', 'karena', 'saya', 'enggak', 'terima', 'barang', 'ini']","['sudahlah', 'prosesnya', 'lama', 'banget', 'dikirim', 'enggak', 'lengkap', 'bilang', 'dong', 'kalo', 'brgnya', 'kosong', 'enggak', 'kasih', 'review', 'enggak', 'terima', 'barang']"
56,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tdk direspond dg cepat tidak ada isi yg tumpah cm berharap kotak kemasan dr azarine bs lebih baik lg saya bs krm video unboxing,Negatif,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,"['saya', 'kira', 'membeli', 'dari', 'toko', 'official', 'bisa', 'dapat', 'pengemasan', 'lebih', 'baik', 'saya', 'terima', 'kondisi', 'kotak', 'kemasan', 'prpduk', 'terbuka', 'dan', 'saya', 'tanya', 'chat', 'penjual', 'tidak', 'direspond', 'dengan', 'cepat', 'tidak', 'ada', 'isi', 'yang', 'tumpah', 'cuma', 'berharap', 'kotak', 'kemasan', 'dari', 'azarine', 'bisa', 'lebih', 'baik', 'lagi', 'saya', 'bisa', 'kirim', 'video', 'unboxing']","['kira', 'membeli', 'toko', 'official', 'pengemasan', 'lebih', 'baik', 'terima', 'kondisi', 'kotak', 'kemasan', 'prpduk', 'terbuka', 'tanya', 'chat', 'penjual', 'tidak', 'direspond', 'cepat', 'tidak', 'isi', 'tumpah', 'cuma', 'berharap', 'kotak', 'kemasan', 'azarine', 'lebih', 'baik', 'kirim', 'video', 'unboxing']"
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif,tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,"['tiap', 'belanja', 'pasti', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'ya', 'salah', 'barangnya', 'ikhlasin', 'saja', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'saja', 'kurang', 'atau', 'butuh', 'karyawan']","['tiap', 'belanja', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'salah', 'barangnya', 'ikhlasin', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'kurang', 'butuh', 'karyawan']"
58,pelayanannya jelek bgt,Negatif,pelayanannya jelek banget,"['pelayanannya', 'jelek', 'banget']","['pelayanannya', 'jelek', 'banget']"
59,exp panjang thx,Negatif,exp panjang thanks,"['exp', 'panjang', 'thanks']","['exp', 'panjang', 'thanks']"
60,dapet tekstur sudah keras dan menggumpal,Negatif,dapat tekstur sudah keras dan menggumpal,"['dapat', 'tekstur', 'sudah', 'keras', 'dan', 'menggumpal']","['tekstur', 'keras', 'menggumpal']"
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif,diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,"['diterima', 'dalam', 'keaadan', 'bocor', 'seperti', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'saja', 'mau', 'complain', 'entar', 'lama', 'lagi', 'prosesnya']","['diterima', 'keaadan', 'bocor', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'mau', 'complain', 'entar', 'lama', 'prosesnya']"
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif,teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,"['teksturnya', 'kental', 'banget', 'di', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli', 'lagi']","['teksturnya', 'kental', 'banget', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli']"
63,botol semprotnya suka ngawur arahnya,Netral,botol semprotnya suka ngawur arahnya,"['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']","['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']"
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral,produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,"['produk', 'bagus', 'sering', 'repurchase', 'tapi', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'masih', 'banyak', 'tapi', 'enggak', 'keluar', 'di', 'pump', 'susah', 'kali', 'pump', 'nya']","['produk', 'bagus', 'sering', 'repurchase', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'banyak', 'enggak', 'keluar', 'pump', 'susah', 'kali', 'pump', 'nya']"
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif,sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,"['sudah', 'sering', 'pakai', 'ini', 'isinya', 'banyak', 'dan', 'bahannya', 'enggak', 'neko', 'fokus', 'melembabkan']","['sering', 'pakai', 'isinya', 'banyak', 'bahannya', 'enggak', 'neko', 'fokus', 'melembabkan']"
66,tekstur ringan pengiriman cepat,Positif,tekstur ringan pengiriman cepat,"['tekstur', 'ringan', 'pengiriman', 'cepat']","['tekstur', 'ringan', 'pengiriman', 'cepat']"
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif,respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,"['respon', 'toko', 'nya', 'cepat', 'dan', 'ramah', 'belum', 'dicoba', 'mudah', 'mudahan', 'cocok']","['respon', 'toko', 'nya', 'cepat', 'ramah', 'belum', 'dicoba', 'mudah', 'mudahan', 'cocok']"
68,sdh langganan sll beli disini,Positif,sudah langganan selalu beli disini,"['sudah', 'langganan', 'selalu', 'beli', 'disini']","['langganan', 'selalu', 'beli', 'disini']"
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif,tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,"['tutup', 'pumpnya', 'enggak', 'bisa', 'berfungsi', 'tapi', 'ok', 'gentle', 'banget', 'washnya']","['tutup', 'pumpnya', 'enggak', 'berfungsi', 'gentle', 'banget', 'washnya']"
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif,face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,"['face', 'wash', 'enak', 'sih', 'dipakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'saja', 'tuh', 'sudah', 'bisa', 'full', 'semuka', 'sampai', 'ke', 'leher', 'cocok', 'banget', 'buat', 'kulitku', 'yang', 'sensitif']","['face', 'wash', 'enak', 'sih', 'dipakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'tuh', 'full', 'semuka', 'leher', 'cocok', 'banget', 'buat', 'kulitku', 'sensitif']"
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif,material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,"['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'meresap', 'aman', 'dari', 'fragrance', 'packaging', 'pump', 'juga', 'hygenis', 'semoga', 'kulit', 'sensitif', 'saya', 'cocok', 'terima', 'kasih', 'ya']","['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'meresap', 'aman', 'fragrance', 'packaging', 'pump', 'hygenis', 'semoga', 'kulit', 'sensitif', 'cocok', 'terima', 'kasih']"
72,bagus pasti ro,Positif,bagus pasti ro,"['bagus', 'pasti', 'ro']","['bagus', 'ro']"
73,baguus bagus cocok,Positif,bagus bagus cocok,"['bagus', 'bagus', 'cocok']","['bagus', 'bagus', 'cocok']"
74,dapet bonus,Positif,dapat bonus,"['dapat', 'bonus']",['bonus']
75,dikasi free gift jg keren,Positif,dikasih free gift juga keren,"['dikasih', 'free', 'gift', 'juga', 'keren']","['dikasih', 'free', 'gift', 'keren']"
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif,sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,"['sebenarnya', 'aku', 'suka', 'banget', 'produknya', 'meresapnya', 'cepat', 'banget', 'ke', 'kulit', 'enggak', 'lengket', 'dan', 'greasy', 'nyaman', 'daan', 'kebetulan', 'cocok', 'karena', 'bekas', 'jerawatku', 'memang', 'jadi', 'lebih', 'memudar', 'tidak', 'hilang', 'begitu', 'saja', 'dan', 'tentunya', 'butuh', 'prosesnya', 'ya', 'bestie', 'tapiii', 'yang', 'menurutku', 'skin', 'game', 'harus', 'perhatikan', 'lagi', 'adalah', 'pemilihan', 'packaging', 'pump', 'nya', 'agak', 'keras', 'lalu', 'produk', 'yang', 'keluar', 'malah', 'jadi', 'loncat', 'dan', 'banyak', 'terbuang', 'entah', 'di', 'leher', 'botol', 'atau', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'jika', 'ada', 'konsiderasi', 'untuk', 'improve', 'pump', 'nya', 'aku', 'akan', 'kasih', 'bintang']","['sebenarnya', 'aku', 'suka', 'banget', 'produknya', 'meresapnya', 'cepat', 'banget', 'kulit', 'enggak', 'lengket', 'greasy', 'nyaman', 'daan', 'kebetulan', 'cocok', 'bekas', 'jerawatku', 'memang', 'jadi', 'lebih', 'memudar', 'tidak', 'hilang', 'tentunya', 'butuh', 'prosesnya', 'bestie', 'tapiii', 'menurutku', 'skin', 'game', 'perhatikan', 'pemilihan', 'packaging', 'pump', 'nya', 'keras', 'lalu', 'produk', 'keluar', 'malah', 'jadi', 'loncat', 'banyak', 'terbuang', 'entah', 'leher', 'botol', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'konsiderasi', 'improve', 'pump', 'nya', 'aku', 'kasih', 'bintang']"
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,"['maaf', 'banget', 'tapi', 'ini', 'susah', 'banget', 'diratainnya', 'dan', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']","['maaf', 'banget', 'susah', 'banget', 'diratainnya', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']"
78,warna nya kuning entah karena apa,Netral,warna nya kuning entah karena apa,"['warna', 'nya', 'kuning', 'entah', 'karena', 'apa']","['warna', 'nya', 'kuning', 'entah', 'apa']"
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif,habis pakai ini besokannya langsung muncul banyak jerawat kecil,"['habis', 'pakai', 'ini', 'besokannya', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']","['habis', 'pakai', 'besokannya', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']"
80,isinya berantakan,Negatif,isinya berantakan,"['isinya', 'berantakan']","['isinya', 'berantakan']"
81,bikin aku jerawatan,Negatif,bikin aku jerawatan,"['bikin', 'aku', 'jerawatan']","['bikin', 'aku', 'jerawatan']"
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,"['produk', 'belum', 'dicoba', 'pengiriman', 'tidak', 'menggunakan', 'bubble', 'wrap', 'hanya', 'produk', 'dan', 'kotak', 'pengiriman', 'saat', 'dibuka', 'botol', 'terasa', 'panas', 'mungkin', 'karena', 'tidak', 'di', 'lapisi', 'bubble', 'wrap', 'jadi', 'langsung', 'terpapar', 'sinar', 'matahari', 'saat', 'pengiriman', 'semoga', 'produk', 'masih', 'efektif', 'kandungannya']","['produk', 'belum', 'dicoba', 'pengiriman', 'tidak', 'menggunakan', 'bubble', 'wrap', 'produk', 'kotak', 'pengiriman', 'dibuka', 'botol', 'terasa', 'panas', 'mungkin', 'tidak', 'lapisi', 'bubble', 'wrap', 'jadi', 'langsung', 'terpapar', 'sinar', 'matahari', 'pengiriman', 'semoga', 'produk', 'efektif', 'kandungannya']"
83,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,Negatif,selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,"['selangnya', 'sependek', 'apa', 'sih', 'sampai', 'dia', 'hilang', 'kebawah', 'wtf', 'annoying', 'banget', 'pakenya', 'bagaimana', 'coba', 'sudah', 'aku', 'cari', 'tapi', 'enggak', 'ada', 'selangnya', 'pakai', 'tube', 'ajalah', 'kalo', 'pakai', 'packaging', 'kayak', 'begini', 'bermasalah', 'mulu', 'sayang', 'banget', 'padahal', 'formulanya', 'sebagus', 'itu', 'tapi', 'kalo', 'packagingnya', 'begini', 'sih', 'big', 'no', 'deh']","['selangnya', 'sependek', 'apa', 'sih', 'hilang', 'kebawah', 'wtf', 'annoying', 'banget', 'pakenya', 'bagaimana', 'coba', 'aku', 'cari', 'enggak', 'selangnya', 'pakai', 'tube', 'ajalah', 'kalo', 'pakai', 'packaging', 'kayak', 'begini', 'bermasalah', 'mulu', 'sayang', 'banget', 'padahal', 'formulanya', 'sebagus', 'kalo', 'packagingnya', 'begini', 'sih', 'big', 'no', 'deh']"
84,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']","['parah', 'banget', 'seller', 'pengiriman', 'kurir', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'seller', 'tidak', 'professional', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'hargai', 'customer', 'membungkus', 'paket', 'baik', 'benar']"
85,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,Netral,untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kayaknya memang enggak cocok di aku kayak langsung jerawatan besar begitu,"['untuk', 'packaging', 'suka', 'banget', 'dan', 'pengeriman', 'juga', 'cepat', 'cuman', 'sorry', 'banget', 'kayaknya', 'memang', 'enggak', 'cocok', 'di', 'aku', 'kayak', 'langsung', 'jerawatan', 'besar', 'begitu']","['packaging', 'suka', 'banget', 'pengeriman', 'cepat', 'cuman', 'sorry', 'banget', 'kayaknya', 'memang', 'enggak', 'cocok', 'aku', 'kayak', 'langsung', 'jerawatan', 'besar']"
86,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,"['warnanya', 'kuning', 'kiri', 'padahal', 'baru', 'dibuka', 'punya', 'saya', 'sudah', 'pemakaian', 'bulan', 'kanan', 'masih', 'bening']","['warnanya', 'kuning', 'kiri', 'padahal', 'baru', 'dibuka', 'punya', 'pemakaian', 'bulan', 'kanan', 'bening']"
87,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,Negatif,benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,"['benar', 'jadi', 'geprek', 'enggak', 'pakai', 'bubble', 'wrap', 'sama', 'sekali', 'hancur', 'semua']","['benar', 'jadi', 'geprek', 'enggak', 'pakai', 'bubble', 'wrap', 'sama', 'sekali', 'hancur', 'semua']"
88,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yg baik dan cepat,Positif,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik dan cepat,"['belum', 'coba', 'pertama', 'kali', 'beli', 'semoga', 'cocok', 'bintang', 'ini', 'diberikan', 'untuk', 'respon', 'admin', 'dan', 'pengantaran', 'pesanan', 'yang', 'baik', 'dan', 'cepat']","['belum', 'coba', 'pertama', 'kali', 'beli', 'semoga', 'cocok', 'bintang', 'diberikan', 'respon', 'admin', 'pengantaran', 'pesanan', 'baik', 'cepat']"
89,fast response on time delivery,Positif,fast response on time delivery,"['fast', 'response', 'on', 'time', 'delivery']","['fast', 'response', 'on', 'time', 'delivery']"
90,blm coba semoga cocok,Positif,belum coba semoga cocok,"['belum', 'coba', 'semoga', 'cocok']","['belum', 'coba', 'semoga', 'cocok']"
91,tipe kulitku berminyak masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']"
92,semoga cocok  makasih bonusnya,Positif,semoga cocok  terima kasih bonusnya,"['semoga', 'cocok', 'terima', 'kasih', 'bonusnya']","['semoga', 'cocok', 'terima', 'kasih', 'bonusnya']"
93,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karna pengiriman dipindahtangankan sama kurir pertama kecewa saya pdhal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya trimakasih,Negatif,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karena pengiriman dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih,"['barang', 'tidak', 'saya', 'terima', 'sampai', 'sekarang', 'kurir', 'ditanya', 'balesnya', 'lama', 'karena', 'pengiriman', 'dipindahtangankan', 'sama', 'kurir', 'pertama', 'kecewa', 'saya', 'padahal', 'alamat', 'sudah', 'sesuai', 'dan', 'biasanya', 'begini', 'tolong', 'kak', 'dikomplain', 'bagian', 'ekspedisi', 'pengirimannya', 'terima', 'kasih']","['barang', 'tidak', 'terima', 'sekarang', 'kurir', 'ditanya', 'balesnya', 'lama', 'pengiriman', 'dipindahtangankan', 'sama', 'kurir', 'pertama', 'kecewa', 'padahal', 'alamat', 'sesuai', 'biasanya', 'begini', 'kak', 'dikomplain', 'bagian', 'ekspedisi', 'pengirimannya', 'terima', 'kasih']"
94,engga cocok mukaku tambah jerawat parah,Negatif,enggak cocok mukaku tambah jerawat parah,"['enggak', 'cocok', 'mukaku', 'tambah', 'jerawat', 'parah']","['enggak', 'cocok', 'mukaku', 'tambah', 'jerawat', 'parah']"
95,hadiahnya bohongan,Negatif,hadiahnya bohongan,"['hadiahnya', 'bohongan']","['hadiahnya', 'bohongan']"
96,bohong,Negatif,berbohong,['berbohong'],['berbohong']
97,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,"['baru', 'mau', 'coba', 'semoga', 'cocok', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['baru', 'mau', 'coba', 'semoga', 'cocok', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']"
98,okeee,Positif,oke,['oke'],['oke']
99,tipe kulitku kering tipe kulitku normal,Netral,tipe kulitku kering tipe kulitku normal,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal']"
